Config ID,Loss,Accuracy,Model Params,tflite Size,Loss_1,Loss_2,Loss_3,Loss_4,Loss_5,Accuracy_1,Accuracy_2,Accuracy_3,Accuracy_4,Accuracy_5
_12-24-12,0.396506255865097,0.7719546794891358,9341,40.68,0.396506255865097,0.3980787694454193,0.4627324938774109,0.39871659874916077,0.37273481488227844,0.7719546794891358,0.7577903866767883,0.7096317410469055,0.723796010017395,0.8229461908340454
_12-24-16,0.4541650652885437,0.7490084886550903,10889,46.872,0.4541650652885437,0.5207163095474243,0.5052703022956848,0.4600641131401062,0.426136314868927,0.7490084886550903,0.7252124547958374,0.7167139053344727,0.7294617295265198,0.7294617295265198
_12-24-24,0.4499144673347473,0.7354107737541199,13985,59.256,0.4499144673347473,0.5081380605697632,0.40318241715431213,0.449693888425827,0.444770485162735,0.7354107737541199,0.7322946190834045,0.7634561061859131,0.7407932281494141,0.701133131980896
_12-24-32,0.3031824231147766,0.8682719469070435,17081,71.64,0.3031824231147766,0.38089028000831604,0.3295343518257141,0.29824259877204895,0.25499454140663147,0.8682719469070435,0.8427761793136597,0.8640226721763611,0.8696883916854858,0.8781869411468506
_12-24-64,0.2992122441530228,0.8728045344352722,29465,121.176,0.2992122441530228,0.33305811882019043,0.33217930793762207,0.3345107436180115,0.2536798417568207,0.8728045344352722,0.8456090688705444,0.8611897826194763,0.8640226721763611,0.8881019949913025
_12-24-80,0.4443655967712402,0.7762039542198181,35657,145.944,0.4443655967712402,0.5249349474906921,0.44969093799591064,0.41382548213005066,0.45962822437286377,0.7762039542198181,0.7450425028800964,0.7478753328323364,0.8073654174804688,0.7606232166290283
_12-24-96,0.4064267694950104,0.7906515598297119,41849,170.712,0.4064267694950104,0.5237975120544434,0.43955376744270325,0.347190260887146,0.39229637384414673,0.7906515598297119,0.7152974605560303,0.7464589476585388,0.8201133012771606,0.8201133012771606
_12-24-128,0.34771292805671694,0.8266288876533509,54233,220.248,0.34771292805671694,0.44405531883239746,0.3899252712726593,0.3237444758415222,0.32025212049484253,0.8266288876533509,0.720963180065155,0.8186968564987183,0.856940507888794,0.8555240631103516
_12-24-160,0.39626711010932925,0.8025495767593384,66617,269.792,0.39626711010932925,0.4925040900707245,0.43448328971862793,0.3771775960922241,0.32230836153030396,0.8025495767593384,0.7351274490356445,0.7776203751564026,0.8172804713249207,0.8470255136489868
_12-32-16,0.4673361122608185,0.7303116083145141,14481,61.248,0.4673361122608185,0.4853358268737793,0.5119602084159851,0.4439862072467804,0.4692261815071106,0.7303116083145141,0.7308781743049622,0.7195467352867126,0.7422096133232117,0.7266288995742798
_12-32-24,0.38486785292625425,0.8093484401702881,18601,77.728,0.38486785292625425,0.4395671486854553,0.41203632950782776,0.39948150515556335,0.3770189583301544,0.8093484401702881,0.7308781743049622,0.7832860946655273,0.8243626356124878,0.8413597941398621
_12-32-32,0.288956081867218,0.8694051027297973,22721,94.208,0.288956081867218,0.40959078073501587,0.29963019490242004,0.2671812176704407,0.2433328777551651,0.8694051027297973,0.7903682589530945,0.8597733974456787,0.876770555973053,0.902266263961792
_12-32-64,0.3037071406841278,0.8648725271224975,39201,160.128,0.3037071406841278,0.3525198698043823,0.3137696087360382,0.27619457244873047,0.30896636843681335,0.8648725271224975,0.8526912331581116,0.854107677936554,0.8711048364639282,0.8682719469070435
_12-32-80,0.40781156420707704,0.7909348487854004,47441,193.088,0.40781156420707704,0.46223533153533936,0.41824236512184143,0.4236645996570587,0.37398362159729004,0.7909348487854004,0.7337110638618469,0.7804532647132874,0.7903682589530945,0.8229461908340454
