Conv1,Conv2,Dense,Loss,Accuracy,Model Params,tflite Size,Loss_1,Loss_2,Loss_3,Loss_4,Loss_5,Accuracy_1,Accuracy_2,Accuracy_3,Accuracy_4,Accuracy_5
8,64,64,0.380764717,0.806515586,24877,102.824,0.380764717,0.500200629,0.392223328,0.340681851,0.353167862,0.806515586,0.72379601,0.800283313,0.835694075,0.824362636
8,64,80,0.48114503,0.727762043,29021,119.4,0.48114503,0.489475548,0.487414837,0.476361752,0.486976504,0.727762043,0.728045344,0.725212455,0.725212455,0.7266289
8,64,96,0.298763764,0.869688392,33165,135.976,0.298763764,0.415069103,0.299129099,0.269030839,0.255507022,0.869688392,0.783286095,0.871104836,0.89235127,0.900849879
8,64,128,0.338113445,0.838810194,41453,169.128,0.338113445,0.396226108,0.368778378,0.333445549,0.313452601,0.838810194,0.817280471,0.818696856,0.845609069,0.844192624
8,64,160,0.366735572,0.826912177,49741,202.28,0.366735572,0.475330561,0.410957009,0.341911674,0.318760633,0.826912177,0.735127449,0.808781862,0.842776179,0.865439117
8,80,48,0.364245683,0.814730883,25869,106.792,0.364245683,0.454379201,0.380547494,0.340831757,0.327560216,0.814730883,0.737960339,0.800283313,0.83427763,0.845609069
8,80,64,0.354373163,0.831444764,31037,127.464,0.354373163,0.434713215,0.365373433,0.340081006,0.308726609,0.831444764,0.783286095,0.810198307,0.835694075,0.862606227
8,80,80,0.332197905,0.844759202,36205,148.136,0.332197905,0.469981998,0.323236793,0.291722775,0.300569564,0.844759202,0.732294619,0.848441899,0.878186941,0.881019831
8,80,96,0.325041103,0.86402266,41373,168.808,0.325041103,0.342416704,0.381753504,0.320511401,0.292424113,0.86402266,0.855524063,0.808781862,0.868271947,0.895184159
8,80,128,0.187140757,0.94702549,51709,210.152,0.187140757,0.240377113,0.177905709,0.177259758,0.173741668,0.94702549,0.912181318,0.95042491,0.958923519,0.961756349
8,80,160,0.272859412,0.900283289,62045,251.496,0.272859412,0.327150136,0.269280225,0.26268661,0.249157637,0.900283289,0.856940508,0.88951844,0.907931983,0.919263482
8,96,48,0.273745477,0.879886687,31005,127.336,0.273745477,0.318319291,0.346372426,0.251911521,0.222450405,0.879886687,0.847025514,0.858356953,0.890934825,0.902266264
8,96,64,0.212389356,0.919830024,37197,152.104,0.212389356,0.276997149,0.22200051,0.228499115,0.162119821,0.919830024,0.890934825,0.905099154,0.913597763,0.94475919
8,96,80,0.302333707,0.876770556,43389,176.872,0.302333707,0.376649708,0.322288245,0.297542185,0.25653702,0.876770556,0.824362636,0.873937666,0.871104836,0.900849879
8,96,96,0.299495667,0.885552406,49581,201.64,0.299495667,0.33862412,0.332783043,0.294472009,0.286171228,0.885552406,0.852691233,0.871104836,0.878186941,0.905099154
8,96,128,0.238832191,0.906798863,61965,251.176,0.238832191,0.38611418,0.231254578,0.217792824,0.178325206,0.906798863,0.839943349,0.906515598,0.916430593,0.932011306
8,96,160,0.445734525,0.76628896,74349,300.712,0.445734525,0.492881835,0.471774012,0.457465053,0.436406642,0.76628896,0.72096318,0.740793228,0.747875333,0.791784704
12,12,12,0.484193188,0.725212455,3713,18.228,0.484193188,0.583326101,0.4702757,0.472146451,0.432953537,0.725212455,0.725212455,0.725212455,0.725212455,0.725212455
12,12,16,0.577407098,0.725212455,4493,21.348,0.577407098,0.587968588,0.587963104,0.584997416,0.5815171,0.725212455,0.725212455,0.725212455,0.725212455,0.725212455
12,12,24,0.408560711,0.811898017,6053,27.588,0.408560711,0.466345519,0.464334279,0.391211361,0.34992069,0.811898017,0.767705381,0.796033978,0.808781862,0.832861185
